Title|Gross
In the Good Old Summertime|3400000
Pinky|4200000
The Third Man|596349
All About Eve|10177
Annie Get Your Gun|8000000
Born Yesterday|12000000
Cinderella|34101149
The Damned Don't Cry|1540000
Destination Moon|5000000
Francesco, giullare di Dio|13000
Sunset Blvd.|5000000
Three Little Words|2800000
Wabash Avenue|2039000
An American in Paris|4500000
Call Me Mister|2697000
Goodbye, My Fancy|1130000
Little Big Horn|521260
Meet Me After the Show|2606000
On the Riviera|2500000
The Bad and the Beautiful|2367000
The Greatest Show on Earth|14000000
Hans Christian Andersen|6000000
High Noon|3750000
Ikiru|55240
Invasion USA|1200000
This Is Cinerama|15300000
Umberto D.|74308
Appointment in Honduras|1150000
The Beast from 20,000 Fathoms|5000000
Escape from Fort Bravo|1450000
The Farmer Takes a Wife|1220000
From Here to Eternity|30500000
Gentlemen Prefer Blondes|12000000
Peter Pan|29445131
The Robe|36000000
Robot Monster|1000000
Roman Holiday|5000000
Shane|20000000
Stalag 17|10000000
Touchez pas au grisbi|95793
I vitelloni|97944
War Arrow|1400000
Beachhead|1400000
Betrayed|1970000
The Boy from Oklahoma|1400000
Casanova's Big Night|3500000
Creature from the Black Lagoon|1300000
Dial M for Murder|12562
The Fast and the Furious|250000
Flame and the Flesh|1300000
Gojira|412520
It Should Happen to You|1400000
Jubilee Trail|1300000
King Richard and the Crusaders|2100000
The Long Wait|1500000
Men of the Fighting Lady|1500000
Monster from the Ocean Floor|117000
On the Waterfront|9600000
Phantom of the Rue Morgue|1450000
Rear Window|1559601
Red Garters|1300000
Rhapsody|1300000
Riding Shotgun|1400000
Sabrina|10000000
Secret of the Incas|1400000
Shichinin no samurai|269061
Sitting Bull|1500000
A Star Is Born|4355968
Suddenly|1400000
Tanganyika|1300000
Vera Cruz|9000000
Yankee Pasha|1250000
Bob le flambeur|41010
Du rififi chez les hommes|418016
Guys and Dolls|1100000
Kiss Me Deadly|882
Lady and the Tramp|93600000
Land of the Pharaohs|1500000
Lola Montès|107264
Mister Roberts|21200000
Pather Panchali|536364
The Seven Year Itch|12000000
The Tall Men|12000000
To Catch a Thief|8750000
Teenage Thunder|1000000
Aparajito|170215
The Conqueror|4500000
Et Dieu... créa la femme|4000000
Forbidden Planet|3000000
Friendly Persuasion|8000000
Giant|169928
High Society|13000000
Invitation to the Dance|600000
The King and I|21300000
Love Me Tender|4500000
The Man Who Knew Too Much|10250000
The Man in the Gray Flannel Suit|10875000
Moby Dick|10400000
Le mystère Picasso|158817
Rock Around the Clock|4000000
Seven Wonders of the World|32100000
The Ten Commandments|80000000
Trapeze|4000000
War and Peace|12500000
Bayou|10000000
The Bridge on the River Kwai|33300000
The Curse of Frankenstein|7000000
The Delinquents|1000000
A Farewell to Arms|11000000
Le fatiche di Ercole|5000000
La grande strada azzurra|6741
Gunfight at the O.K. Corral|11750000
I Was a Teenage Werewolf|2000000
Island in the Sun|8000000
Jailhouse Rock|4000000
Legend of the Lost|2200000
Love in the Afternoon|5000000
