Title|Gross
Not of This Earth|107352
Nuovo cinema Paradiso|392045
Off Limits|7242035
Oliver & Company|73450885
Otto - Der Neue Film|26914498
L'ours|3696158
Out of Rosenheim|3587303
Out of the Dark|419428
The Outside Chance of Maximilian Glick|317670
Party Line|154887
Pascali's Island|1451857
Pass the Ammo|169785
Patti Rocks|345000
Patty Hearst|1223326
Permanent Record|1893139
Phantasm II|5667120
Plain Clothes|289323
Platoon Leader|1348771
Police Academy 5: Assignment: Miami Beach|19510371
Poltergeist III|14114488
Pound Puppies and the Legend of Big Paw|504636
Powaqqatsi|589244
The Presidio|20036242
Prison|354704
Promised Land|316199
Pulse|40397
Pumpkinhead|4385516
Punchline|21032267
Rain Man|172825435
Rambo III|53715611
Rampage|796368
Red Heat|34994648
Rent-a-Cop|295000
The Rescue|5855392
Return of the Living Dead Part II|9205924
The Man from Snowy River II|13687027
Rikky and Pete|206138
Rocket Gibraltar|187349
Running on Empty|2835116
Salaam Bombay!|2080046
Salome's Last Dance|331469
Salsa|8892589
Satisfaction|8253123
Scavengers|699118
School Daze|14545844
Scrooged|60328558
The Serpent and the Rainbow|19595031
Seven Hours to Judgment|177820
The Seventh Sign|18875011
Shakedown|10068039
She's Having a Baby|16031707
Shoot to Kill|29300090
Short Circuit 2|21630088
Spellbinder|1938049
Spike of Bensonhurst|623112
Split Decisions|695822
Stars and Bars|111987
Stealing Home|7467504
Sticky Fingers|208633
Stormy Monday|1791328
A Summer Story|462813
Sunset|4594452
Sweet Hearts Dance|3790493
Switching Channels|9129999
Taffin|159969
Talk Radio|3468572
Tapeheads|343786
The Telephone|99978
Tequila Sunrise|41292551
The Terror Within|858591
They Live|13008928
The Thin Blue Line|1209846
Things Change|3527886
Tiger Warsaw|422667
A Time of Destiny|1212487
Tokyo Pop|125345
Torch Song Trilogy|4865997
Tougher Than Leather|3582760
Track 29|429028
Tucker: The Man and His Dream|19652638
Twins|111936400
Two Moon Junction|1547397
U2: Rattle and Hum|8600823
The Unbearable Lightness of Being|10006806
Une affaire de femmes|438483
The Unholy|6337299
Vibes|1883811
Vice Versa|13664060
La vie est un long fleuve tranquille|194456
Walker|257043
Warm Nights on a Slow Moving Train|400000
Watchers|940173
Waxwork|808114
Who Framed Roger Rabbit|154222492
Willow|57269863
Without a Clue|8539181
The Wizard of Loneliness|144566
Wong gok ka moon|8440
Working Girl|64000000
A World Apart|2326900
World Gone Wild|307000
The Wrong Guys|1152786
You Can't Hurry Love|333152
Young Einstein|11536599
Young Guns|44726644
The 'burbs|36602000
84C MoPic|154264
The Abyss|54222000
Torrents of Spring|111747
The Adventures of Baron Munchausen|8083123
All Dogs Go to Heaven|27100027
Always|43858790
American Ninja 3: Blood Hunt|679980
Apoorva Sahodarargal|5484000
Az én XX. századom|682016
Babar: The Movie|1305187
Back to the Future Part II|118500000
Batman|251185407
Bert Rigby, You're a Fool|75868
Best of the Best|1700000
Beverly Hills Brats|192561
The Big Picture|117463
Bill & Ted's Excellent Adventure|40485039
Black Rain|45645204
Blaze|19131246
Blind Fury|2692037
Bloodfist|1770082
Bloodhounds of Broadway|43671
Born on the Fourth of July|70001698
Breaking In|1877618
Bye Bye Blues|161323
Cage|618178
Cameron's Closet|136203
Casualties of War|18671317
Catch Me If You Can|7000000
Chances Are|16278590
Koneko monogatari|13299749
Cheetah|8153677
Cold Feet|289975
Comment faire l'amour avec un nègre sans se fatiguer|491193
Communion|1919653
Conte de printemps|201332
The Cook the Thief His Wife & Her Lover|7724701
Cookie|1869417
Courage Mountain|1393610
Cousins|22030000
Crack House|862551
Crimes and Misdemeanors|18254702
Criminal Law|9974446
Cruising Bar|3400000
Cyborg|10166459
Dad|19738015
Damned River|20585
Diamond Skulls|333811
Dead Calm|7825009
Dead Poets Society|95860116
Dead Bang|8125592
DeepStar Six|8143225
Disorganized Crime|7723506
Do the Right Thing|27545445
Dom za vesanje|280015
The Dream Team|28890240
Dream a Little Dream|5552441
Driving Miss Daisy|106593296
Drugstore Cowboy|4729352
A Dry White Season|3766879
Earth Girls Are Easy|3916303
Eat a Bowl of Tea|231423
Eddie and the Cruisers II: Eddie Lives!|536508
Edge of Sanity|102219
Enemies: A Love Story|7754571
Erik the Viking|1932642
The Experts|169203
The Fabulous Baker Boys|16823529
Family Business|12195695
Farewell to the King|2420917
Fast Food|472340
Fat Man and Little Boy|3563162
Field of Dreams|64431625
Fletch Lives|35150960
The Fly II|20021322
For All Mankind|770132
For Queen & Country|191051
Friday the 13th Part VIII: Jason Takes Manhattan|14335525
Fright Night Part 2|2983784
Getting It Right|960385
Ghostbusters II|112494738
The Girl in a Swing|747013
Gleaming the Cube|2777280
Glory|26830000
The Gods Must Be Crazy II|6291444
La famiglia Buonanotte|120513
Great Balls of Fire!|13741060
Gross Anatomy|11604598
Halloween 5|11642254
Harlem Nights|60864870
Heart of Dixie|1097333
Heathers|1108462
Henry V|10161099
Her Alibi|18699037
Honey, I Shrunk the Kids|130724200
The Horror Show|1379660
How I Got Into College|1642239
How to Get Ahead in Advertising|418053
I, Madman|151203
Immediate Family|5932613
In Country|3531971
Indiana Jones and the Last Crusade|197171806
An Innocent Man|20047604
Jacknife|2049769
The January Man|4611062
Johnny Handsome|7237794
Jésus de Montréal|1601612
K-9|43247647
The Karate Kid, Part III|38956288
Kickboxer|14533681
Kill Me Again|283694
Kinjite: Forbidden Subjects|3416846
Ladri di saponette|1231622
Last Exit to Brooklyn|1730005
Lean on Me|31906454
Let It Ride|4973285
Lethal Weapon 2|147253986
Leviathan|15704614
Licence to Kill|33197509
Lightning Over Braddock: A Rustbowl Fantasy|22060
Listen to Me|4299023
The Little Mermaid|109859444
Little Monsters|793775
Lock Up|22099847
Look Who's Talking|140088813
Lost Angels|1247946
Loverboy|3960327
The Mahabharata|334077
Major League|49797148
The Mighty Quinn|4557214
Millennium|5777099
Milou en mai|1576702
Miracle Mile|1145404
Wilt|113014
Miss Firecracker|646890
Monsieur Hire|1417030
My Left Foot: The Story of Christy Brown|14743391
Mystery Train|1541518
Christmas Vacation|71320000
New York Stories|10763469
Next of Kin|15942628
Night Game|337812
A Nightmare on Elm Street: The Dream Child|19133255
No Holds Barred|16093651
No Retreat, No Surrender 2: Raging Thunder|108154
Les noces de papier|229316
Old Gringo|3574256
Othello|431795
Out Cold|294266
The Package|10647219
Pan Jin Lian zhi qian shi jin sheng|123254
Paperhouse|241278
Parenthood|100047830
Parents|870532
Pet Sematary|57469179
La petite voleuse|1055416
The Phantom of the Opera|3953745
Physical Evidence|3560932
Pink Cadillac|12143484
Police Academy 6: City Under Siege|11567217
Powwow Highway|283747
Prancer|18587135
The Punisher|287434
Queen of Hearts|1236844
Race for Glory|100326
The Rachel Papers|201468
The Rainbow|444055
Red Scorpion|4192440
Relentless|6985999
Renegades|9015164
The Return of Swamp Thing|192816
River of Death|535031
Road House|30050028
Roger & Me|5581690
Romero|1316495
Romuald et Juliette|495063
Rooftops|2043889
Rosalie Goes Shopping|574080
Rude Awakening|3169719
Say Anything...|20781385
Scandal|8800000
Scenes from the Class Struggle in Beverly Hills|2156471
Sea of Love|58571513
Second Sight|5368865
See No Evil, Hear No Evil|46908987
See You in the Morning|4795009
Shag|6957975
She's Out of Control|12065892
She-Devil|15351421
Shirley Valentine|6353913
Shocker|16554699
Sidewalk Stories|131433
Sing|2260616
Skin Deep|19674852
Slaves of New York|463972
Some Girls|401421
Sono otoko, kyôbô ni tsuki|1960
Speed Zone!|2937126
Star Trek V: The Final Frontier|52210049
Staying Together|4348025
Steel Magnolias|5467015
Stepfather II|1519796
Storia di ragazzi e di ragazze|741221
Strapless|764794
The Tall Guy|510712
Tango & Cash|63408614
Tap|9114702
Teen Witch|25560
Thelonious Monk: Straight, No Chaser|518918
Three Fugitives|40590000
To the Limit|23500000
The Toxic Avenger Part III: The Last Temptation of Toxie|363561
The Toxic Avenger, Part II|792966
Triumph of the Spirit|168852
Troop Beverly Hills|8508843
Trop belle pour toi|1776440
True Believer|8742750
True Love|1354268
Turner & Hooch|71079915
UHF|6157157
Uncle Buck|66758538
Under the Boardwalk|147542
Valmont|1132112
Vampire's Kiss|725131
La vie et rien d'autre|428758
War Party|657190
The War of the Roses|83699711
Warlock|9094451
We're No Angels|10555348
Weekend at Bernie's|30218387
Welcome Home|1029822
When Harry Met Sally...|92823546
Who's Harry Crumb?|10982364
Wicked Stepmother|43749
Winter People|2023282
Wired|1089000
The Wizard|14278900
Worth Winning|3690400
Sex, Lies, and Videotape|24741700
Sweetie|938065
3 Men and a Little Lady|71609321
3-4 x jûgatsu|1471
The Adventures of Ford Fairlane|21413502
After Dark, My Sweet|2678414
Air America|31053601
Alice|7331647
All the Vermeers in New York|142721
Almost an Angel|9100618
American Dream|269823
Angel Town|855810
An Angel at My Table|1054638
Another 48 Hrs.|80820000
Arachnophobia|53133888
Archangel|2592
Avalon|15740796
Awakenings|52096475
Back to the Future Part III|87666629
Bad Influence|12626043
Betsy's Wedding|19740070
The Big Man|59227
Bird on a Wire|70980000
Bloodfist II|1292323
Blue Planet|22800000
Blue Steel|8220000
Body Chemistry|2415312
The Bonfire of the Vanities|15691192
Book of Love|1382259
Brain Dead|1627955
La baule-les Pins|805462
Cadillac Man|27627310
Chattahoochee|259486
Chicago Joe and the Showgirl|85395
Child's Play 2|28501605
Le château de ma mère|1477071
Class of 1999|2459895
Club Fed|2400000
Come See the Paradise|847306
The Comfort of Strangers|1244381
Corporate Affairs|1006575
Coupe de Ville|715983
Crazy People|13236513
A Cry in the Wild|1494969
Cry-Baby|8266343
Cyrano de Bergerac|5820020
Daddy Nostalgie|1108429
Daddy's Dyin'... Who's Got the Will?|1373728
Dances with Wolves|184208848
Darkman|33878502
Days of Thunder|82670733
Death Warrant|16853487
December Bride|70298
Def by Temptation|2218579
Defenseless|6413375
Delta Force 2: The Colombian Connection|6698361
Desperate Hours|2742912
Dick Tracy|103738726
Die Hard 2|115288665
Ding et Dong le film|2400000
La discrète|229160
Don't Tell Her It's Me|1171762
Downtown|2346150
DuckTales: The Movie - Treasure of the Lost Lamp|18115724
Eating|2100538
Edward Scissorhands|56362352
Ernest Goes to Jail|25029569
Everybody Wins|1372350
The Exorcist III|26098824
Fei ying gai wak|10440032
The Field|1414017
Fire Birds|14760451
The First Power|22424195
Flashback|6488144
Flatliners|61490000
Flight of the Intruder|14587732
Fools of Fortune|80490
The Forbidden Dance|1823154
The Fourth War|1305887
Frankenhooker|205068
Frankenstein Unbound|334748
The Freshman|21460601
Full Fathom Five|313214
Funny About Love|8141292
The Gate II: Trespassers|2032973
Ghost|217631306
Ghost Dad|24707633
Ghosts Can't Do It|25000
La gloire de mon père|1710856
The Godfather: Part III|66676062
Goodfellas|46836394
Graffiti Bridge|4562778
Graveyard Shift|11582891
Green Card|29888235
Gremlins 2: The New Batch|41482207
The Grifters|13446769
The Guardian|17037887
Hamlet|20710451
The Handmaid's Tale|4960385
Happily Ever After|3299382
Hard to Kill|47410000
Hardware|5728953
Haunting Fear|175000
The Haunting of Morella|1547867
Havana|9243140
Heart Condition|4134992
Ten to Chi to|307775
Henry & June|11567449
Henry: Portrait of a Serial Killer|609939
Hidden Agenda|1030938
Europa Europa|2111018
Home Alone|285761243
The Hot Spot|1293976
House Party|26386000
The Hunt for Red October|120709868
Dark Angel|4348368
I Love You to Death|16186793
Impulse|2544504
In the Spirit|281285
Internal Affairs|27734391
Iron & Silk|356077
Jacob's Ladder|26118851
Jetsons: The Movie|10900000
Joe Versus the Volcano|39404261
Ju Dou|1986433
Kiljusen herrasväen uudet seikkailut|7593
Kindergarten Cop|91457688
King of New York|2554476
The Krays|2060847
Lambada|4263112
The Last of the Finest|1531489
Leatherface: Texas Chainsaw Massacre III|5765562
The Lemon Sisters|3473905
Life Is Cheap... But Toilet Paper Is Expensive|108392
Life Is Sweet|1516414
Lionheart|24078196
Lisa|4347648
The Long Walk Home|4803039
Longtime Companion|4609953
Look Who's Talking Too|47789074
Loose Cannons|5585154
Lord of the Flies|13985225
Love at Large|1436308
Love or Money|44445
Madhouse|21036771
A Man Called... Rainbo|1300000
Maniac Cop 2|75788
Le mari de la coiffeuse|1155800
Marked for Death|46044400
Martha et moi|49800
Martians Go Home|129778
Meet the Applegates|485772
Memphis Belle|27441977
Men Don't Leave|6070725
Men at Work|16247964
Mermaids|35419397
Metropolitan|2938208
Miami Blues|9888167
Miller's Crossing|5080409
Mindwalk|774048
Misery|61276872
Mo' Better Blues|16153600
Mortal Passions|197343
Mountains of the Moon|4011793
Mr. & Mrs. Bridge|7698010
Mr. Destiny|15379253
Music Box|6263883
My Blue Heaven|23591472
Narrow Margin|10873237
Navy Seals|25069101
Nema-ye Nazdik|2670
The Neverending Story II: The Next Chapter|16283667
Night Visitor|166635
Night of the Living Dead|5835247
Nightbreed|8862354
Nikita|5017971
Nuns on the Run|10959015
The Nutcracker Prince|1781694
Opportunity Knocks|11359129
Outremer|244513
Overexposed|577701
Pacific Heights|29381956
Paris Is Burning|3779620
Porte aperte|123470
Postcards from the Edge|37963281
Predator 2|28317513
Presumed Innocent|86303188
Pretty Woman|178406268
Problem Child|53470900
Pump Up the Volume|11541758
Q & A|11207891
Quick Change|15260154
Rebro Adama|239008
Red Surf|13136
Reise der Hoffnung|261718
Repossessed|1382462
The Rescuers Down Under|27931461
The Return of Superfly|610402
Revenge|15650000
Reversal of Fortune|15445131
Rich Girl|561000
Riff-Raff|295444
RoboCop 2|45285202
Rocky V|40123474
The Rookie|21633874
Rosencrantz & Guildenstern Are Dead|739104
The Russia House|22998000
Das schreckliche Mädchen|2281569
The Sheltering Sky|2075084
A Shock to the System|3417056
Short Time|4010647
A Show of Force|152982
The Shrimp on the Barbie|458996
Sibling Rivalry|17854930
Side Out|449868
Ski Patrol|8533973
Slumber Party Massacre III|1242995
Soultaker|233150
Spaced Invaders|15369573
Stanley & Iris|5820015
Stanno tutti bene|1745470
State of Grace|1911542
Stella|20240128
Streets|1510053
Strike It Rich|541626
Tales from the Darkside: The Movie|16324573
Tatie Danielle|604624
Taksi-Blyuz|169410
Teenage Mutant Ninja Turtles|135270000
Thousand Pieces of Gold|717772
To Sleep with Anger|1161135
Torn Apart|210444
Total Recall|119394840
Tremors|16667084
Tune in Tomorrow...|1794001
Due occhi diabolici|349618
The Two Jakes|10005969
The Unbelievable Truth|546541
Uranus|342198
Vincent & Theo|2231274
Vital Signs|1224605
Waiting for the Light|808690
Welcome Home, Roxy Carmichael|3989297
Where the Heart Is|1106475
White Hunter Black Heart|2319124
Wild Orchid|11060485
Wild at Heart|14560247
The Witches|10360553
Without You I'm Nothing|1218730
Yo, la peor de todas|52148
Young Guns II|44143410
Dreams|1963207
¡Ay, Carmela!|299090
¡Átame!|4087361
29th Street|2120564
35 Up|922872
A Fei zheng chuan|141864
The Addams Family|113502000
The Adjuster|396573
All I Want for Christmas|14812000
L'amant|4899194
Amantes|1407309
Les amants du Pont-Neuf|117569
American Ninja 4: The Annihilation|277462
An American Tail: Fievel Goes West|22166041
And You Thought Your Parents Were Weird|402539
Another You|2865916
Antonia and Jane|1002078
Article 99|6375979
At Play in the Fields of the Lord|1342903
Atlantis|138000
Backdraft|77868585
The Ballad of the Sad Cafe|184890
Barton Fink|6153939
Beastmaster 2: Through the Portal of Time|869325
Beauty and the Beast|25487028
Becoming Colette|218316
La belle noiseuse|408571
Bill & Ted's Bogus Journey|38037513
Billy Bathgate|15965919
Bingo|8667684
Bis ans Ende der Welt|752856
Black Robe|8211952
Blood and Concrete|8780
Bloodfist III: Forced to Fight|35154
Body Parts|9188150
Boyz n the Hood|57504069
Bright Angel|158243
Bugsy|49114016
The Butcher's Wife|9689816
Cabeza de Vaca|789127
Cadence|2070871
California Casanova|2800000
Cape Fear|79100000
Career Opportunities|11336986
Chameleon Street|235011
China Cry: A True Story|4212828
City Slickers|124033791
City of Hope|1264910
Class Action|24277858
Close My Eyes|135893
Closet Land|259012
The Commitments|14919570
Company Business|1501785
Cool as Ice|1193062
Once Upon a Crime...|8669847
Crooked Hearts|31000
Curly Sue|33691313
Da hong deng long gao gao gua|2603061
Danzón|360158
Dead Again|38016380
Deceived|28738096
Defending Your Life|16371128
Delicatessen|1794187
Delirious|5546827
Delusion|233488
Dice Rules|637327
Doc Hollywood|54830779
The Doctor|38120905
Dogfight|394631
La domenica specialmente|442676
Don't Tell Mom the Babysitter's Dead|25196249
The Doors|35183792
Double Impact|30102717
La double vie de Véronique|1999955
Drop Dead Fred|13878334
Dutch|4603929
Dying Young|33669178
Edward II|694438
Eminent Domain|151098
Enchanted April|13200170
The End of Innocence|115983
Ernest Scared Stupid|14143280
Europa|1007001
Eve of Destruction|5451119
A Grande Arte|356825
F/X2|21082165
Father of the Bride|89325780
The Favour, the Watch and the Very Big Fish|164767
The Fisher King|41895491
The Five Heartbeats|8750400
Flirting|2415396
For the Boys|17860280
Frankie and Johnny|22773535
Freddy's Dead: The Final Nightmare|31332876
Fried Green Tomatoes|80100000
The Giant of Thunder Mountain|126911
Grand Canyon|33243020
Guilty by Suspicion|9480198
Hachi-gatsu no kyôshikyoku|516431
Hangin' with the Homeboys|532933
Hard Promises|306319
The Hard Way|25895485
Harley Davidson and the Marlboro Man|7434726
He Said, She Said|9804775
Hear My Song|4313173
Hearts of Darkness: A Filmmaker's Apocalypse|1318449
Held Hostage: The Sis and Jerry Levin Story|271327
Highlander II: The Quickening|15556340
Highway 61|291645
The Hitman|4654288
Homicide|2971661
Homo Faber|516517
Hook|119654823
Hot Shots!|69467617
House Party 2|19281235
Hudson Hawk|17218080
If Looks Could Kill|7788597
Impromptu|4076211
The Indian Runner|191125
J'entends plus la guitare|12011
JFK|70405498
Jacquot de Nantes|149200
Johnny Stecchino|574392
Jungle Fever|32482682
K2|3106559
Kafka|1059071
Kickboxer 2: The Road Back|1248362
King Ralph|34002045
A Kiss Before Dying|15429177
Kiss Me a Killer|487632
L.A. Story|28862081
The Last Boy Scout|59509925
Late for Dinner|8906823
Liebestraum|133645
Life Stinks|4102526
Light Sleeper|1050861
Listen Up: The Lives of Quincy Jones|776699
Little Man Tate|25010896
Livin' Large!|5467959
London Kills Me|170667
Love Crimes|2387928
Love Potion No. 9|754935
Love Your Mama|136175
Madame Bovary|1942424
Madonna: Truth or Dare|15012935
The Man in the Moon|2853801
Mannequin: On the Move|3752426
The Marrying Man|12454768
McBain|320000
Mediterraneo|4532791
Meeting Venus|1000348
Men of Respect|139155
A Midnight Clear|1526697
The Miracle|835519
Mississippi Masala|7310000
Mister Johnson|1464242
Mobsters|20246790
Mon père, ce héros.|25480000
Monster in a Box|311245
Mortal Thoughts|19018321
My Girl|59847242
My Heroes Have Always Been Cowboys|3603615
My Own Private Idaho|6401336
Mystery Date|6166819
The Naked Gun 2½: The Smell of Fear|86930411
Naked Lunch|2541541
Necessary Roughness|26255594
New Jack City|47624253
Night on Earth|2015810
Not Without My Daughter|14789113
Nothing But Trouble|8479793
The Object of Beauty|5186392
Olivier, Olivier|1256355
Once Around|14851083
One False Move|1543112
One Good Cop|11276846
Only the Lonely|21830957
Oscar|23562716
Other People's Money|35682090
Out for Justice|39319761
Paradise|18634643
The Perfect Weapon|14061361
Point Break|43218387
Poison|609524
Popcorn|4205000
The Pope Must Die|582510
Prime Target|41378
The Prince of Tides|74787599
Problem Child 2|25104700
Proof|524668
Prospero's Books|1750301
Pure Luck|22641969
Queens Logic|612781
Quigley Down Under|21413105
A Rage in Harlem|10438504
The Rain Killer|1696066
Rambling Rose|6266621
The Rapture|1277401
Regarding Henry|43001500
Return to the Blue Lagoon|2807854
Ricochet|21760000
Robin Hood: Prince of Thieves|165500000
Robot Jox|1272977
Rock-A-Doodle|11657385
The Rocketeer|46704056
Run|4409328
Rush|7241350
Salmonberries|96717
Scenes from a Mall|9563393
The Search for Signs of Inteligent Life in the Universe|538216
Sex, Drugs, Rock & Roll|530392
Shakes the Clown|115103
Shattered|11511031
Shout|3547684
Showdown in Little Tokyo|2275557
Siempre felices|3299382
The Silence of the Lambs|130719208
Slacker|1228108
Sleeping with the Enemy|101599005
Soapdish|36489888
Sólo con tu pareja|9074
Spotswood|101307
Star Trek VI: The Undiscovered Country|74888996
Stepping Out|242014
Stone Cold|9286314
Straight Out of Brooklyn|2712293
Strangers in Good Company|1002689
Strictly Business|7683267
Suburban Commando|6130268
The Super|11000863
Superstau|259297
Sweet Talker|382510
Switch|15545943
Szalona ambicja|436132
Tacones lejanos|1710057
Taking Care of Business|20005435
Talent for the Game|336396
Talkin' Dirty After Dark|978775
Teenage Mutant Ninja Turtles II: The Secret of the Ooze|78656813
Terminator 2: Judgment Day|198116802
Texasville|2268181
Thelma & Louise|45361000
Toto le héros|1228153
Tous les matins du monde|3089497
Toy Soldiers|15073942
True Colors|418807
True Identity|4693236
Truly Madly Deeply|1554742
Trust|356122
Turtle Beach|708444
Twenty-One|256521
The Unborn|1159578
V.I. Warshawski|11128309
Van Gogh|138720
La vieille qui marchait dans la mer|50349
What About Bob?|63710000
Where Angels Fear to Tread|1403033
White Fang|34793160
White Palace|17487531
Whore|1008404
Wild Hearts Can't Be Broken|7300000
Wishman|898
A Woman's Tale|405137
Wong Fei Hung|3826459
Year of the Gun|1182273
1492: Conquest of Paradise|7191399
3 Ninjas|24678909
A3|3098631
L'accompagnatrice|725519
Aces: Iron Eagle III|2517600
Aladdin|217350219
Alan & Naomi|259311
Alien³|55473600
American Heart|384048
American Me|13086430
Après l'amour|75473
The Babe|17530973
Back in the U.S.S.R.|501036
Bad Lieutenant|2000022
Baraka|1250322
Basic Instinct|117727000
Batman Returns|162744850
Bébé's Kids|8442162
Beethoven|57114049
Being at Home with Claude|600000
Belle epoque|5971369
Blame It on the Bellboy|3104545
The Inner Circle|583979
Bob Roberts|4479470
The Bodyguard|121945720
Boomerang|70100000
Born to Ski|1423688
Brain Donors|918239
Braindead|242623
Dracula|82522790
A Brief History of Time|2279692
Brother's Keeper|1305915
Buffy the Vampire Slayer|16624456
C'est arrivé près de chez vous|205569
Candyman|25792310
Captain America|10173
Captain Ron|22518097
Chain of Desire|222552
Chaplin|9493259
Cheap Shots|1380
Child's Play 3|5718940
Christopher Columbus: The Discovery|8251071
City of Joy|14683921
Claire of the Moon|799674
Class Act|13272113
Como agua para chocolate|21665500
Consenting Adults|21591728
Conte d'hiver|213687
Cool World|14110600
La corsa dell'innocente|49472
CrissCross|3052738
Cronos|621392
Crossing the Bridge|479676
Crush|107792
The Crying Game|62549000
The Cutting Edge|25105517
Daddy and the Muscle Academy|109513
Daughters of the Dust|1640678
Death Becomes Her|58422650
Deep Cover|16639799
Desire and Hell at Sunset Motel|2136
Diggstown|4836637
The Distinguished Gentleman|46666502
Dr. Giggles|8403433
Encino Man|40693477
Equinox|279627
Excessive Force|1152117
Falling from Grace|136185
Far and Away|58883840
Damage|7532911
FernGully: The Last Rainforest|24650296
A Few Good Men|141340178
Final Analysis|28590665
Folks!|6132924
Forever Young|55956200
Freddie as F.R.O.7|1119368
Freejack|17129000
Frozen Assets|376008
Gas, Food Lodging|1345236
Gladiator|9223441
Glengarry Glen Ross|10725228
Den goda viljan|1253106
The Good Woman of Bangkok|205959
The Gun in Betty Lou's Handbag|3721911
Guncrazy|114516
The Hand That Rocks the Cradle|88036683
Heathcliff: The Movie|2193642
Hellraiser III: Hell on Earth|12534961
Hero|19487173
Hoffa|24276500
Hold Me, Thrill Me, Kiss Me|130377
Home Alone 2: Lost in New York|173585516
Honey I Blew Up the Kid|58662452
Honeymoon in Vegas|35208854
HouseSitter|58500635
Howards End|25966555
Husbands and Wives|10555619
In the Soup|256249
Incident at Oglala|536848
Indochine|5734232
Innocent Blood|4972818
Into the Sun|641886
Into the West|4790801
Jamón, jamón|938473
Jennifer Eight|11390479
Ging chat goo si 3: Chiu kup ging chat|16249557
Juice|20146880
Just Another Girl on the I.R.T.|479169
Just Like a Woman|78808
Khuda Gawah|1591
Kickboxer 3: The Art of War|1582
Knight Moves|923418
Kuffs|21142815
Il ladro di bambini|931280
Ladybugs|14796494
The Last Days of Chez Nous|830405
The Last of the Mohicans|75505856
The Lawnmower Man|32101000
Laws of Gravity|117480
A League of Their Own|107458785
Leap of Faith|23369283
Leaving Normal|1514114
Leon the Pig Farmer|65222
Lethal Weapon 3|144731527
Little Nemo: Adventures in Slumberland|1368000
The Living End|692585
The Long Day Closes|161179
Lorenzo's Oil|7286388
Love & Murder|7745
Love Field|1949148
Un lugar en el mundo|100986
Bitter Moon|1862805
Léolo|610488
Mac|471120
The Magical World of Chuck Jones|6154
Malcolm X|48169908
The Mambo Kings|6742168
Man Trouble|4096030
Map of the Human Heart|2806881
El mariachi|2040920
Medicine Man|45500797
Memoirs of an Invisible Man|14358033
The Mighty Ducks|50727056
Mistress|1102469
Mo' Money|40227000
Mom and Dad Save the World|2034470
Mr. Baseball|20883046
Mr. Saturday Night|13351357
The Muppet Christmas Carol|27281507
My Cousin Vinny|52929168
My New Gun|123587
Newsies|2819485
Night and the City|6202756
No Place to Hide|135004
Noises Off...|2280148
Les nuits fauves|662341
The Nutt House|2000000
Of Mice and Men|5101632
The Opposite Sex and How to Live with Them|690966
Out on a Limb|1659542
The Panama Deception|309596
Parenti serpenti|43529
Passed Away|4030793
Passenger 57|44065653
Passion Fish|5414619
Pastime|267265
Patriot Games|83287363
The People Under the Stairs|23705325
Pet Sematary II|17092453
Peter's Friends|4058564
The Playboys|4906900
The Player|21706100
Poison Ivy|1829804
The Power of One|2827107
Prelude to a Kiss|20006730
The Public Eye|3067917
Pure Country|15164458
Qiu Ju da guan si|1890247
The Quarrel|260024
Radio Flyer|4651977
Rain Without Thunder|11092
Raising Cain|21370057
Rapid Fire|14356479
Red Rock West|2502551
Reservoir Dogs|2687008
Rich in Love|2149735
A River Runs Through It|43440294
Roadside Prophets|146313
Romper Stomper|175340
Yu pu tuan zhi: Tou qing bao jian|396003
Ruby|919286
Sarafina!|7306242
Scent of a Woman|63895607
School Ties|14715067
La sentinelle|7548
The Seventh Coin|3200000
Shadow of the Wolf|1448640
Shadows and Fog|2735731
Shining Through|21733781
Shuang long hui|8332431
Sidekicks|17180393
Simple Men|141554
Single White Female|48017402
Singles|18472850
Sister Act|139470392
Sleepwalkers|30524763
Sneakers|51433000
Sofie|288567
South Central|1373196
Split Second|5430822
Stay Tuned|10736401
Stop! Or My Mom Will Shoot|28411210
Storyville|422503
Straight Talk|21202099
A Stranger Among Us|12282994
Strictly Ballroom|11738022
Sur la terre comme au ciel|975
Swoon|340147
Söndagsbarn|151881
The Taking of Beverly Hills|939277
Terminal Bliss|215500
Tetsuo II: Body Hammer|2550
This Is My Life|2922094
Thunderheart|22660758
Timebomb|60780
Together Alone|110505
Tom and Jerry: The Movie|3560469
Topâzu|277813
Toys|21452082
Traces of Red|3206713
Trespass|13747138
Tui shou|152322
Twin Peaks: Fire Walk with Me|4160851
Ultra Warrior|410880
Un coeur en hiver|1666511
Under Siege|83363139
Under Suspicion|221295
Under the Sun|316020
Unforgiven|74681912
Universal Soldier|36299898
Unlawful Entry|57138719
Used People|17957265
Venice/Venice|661080
Vermont Is for Lovers|1845
Visions of Light|799856
The Waterdance|1723319
Waterland|1034287
Wayne's World|121697350
Where the Day Takes You|390152
Whispers in the Dark|11124511
White Men Can't Jump|76253806
White Sands|9011574
Wild Orchid II: Two Shades of Blue|573904
Wind|5519569
Wong Fei Hung II: Nam yi dong ji keung|3924438
Year of the Comet|2791515
Zebrahead|1468300
Änglagård|288633
The Innocent|553454
112th & Central: Through the Eyes of the Children|7471
Addams Family Values|48919043
The Adventures of Huck Finn|24103594
The Age of Innocence|32000000
Airborne|2850263
Alive|36733909
Amongst Friends|263601
Amos & Andrew|9745803
Another Stakeout|20208496
Arizona Dream|106658
Army of Darkness|11502976
Joshua Tree|4225379
