Annie Get Your Gun|1950|George Sidney
Born Yesterday|1950|George Cukor
Born Yesterday|1993|Luis Mandoki
Cinderella|1950|Clyde Geronimi
The Damned Don't Cry|1950|Vincent Sherman
Destination Moon|1950|Irving Pichel
Wabash Avenue|1950|Miss Dove Morning
An American in Paris|1951|Vincente Minnelli
Meet Me After the Show|1951|Richard Sale
The Bad and the Beautiful|1952|Vincente Minnelli
Hans Christian Andersen|1952|Charles Vidor
High Noon|1952|Fred Zinnemann
This Is Cinerama|1952|Merian C. Cooper
Appointment in Honduras|1953|Jacques Tourneur
Escape from Fort Bravo|1953|John Sturges
From Here to Eternity|1953|Fred Zinnemann
Peter Pan|1953|Clyde Geronimi
Peter Pan|2003|P.J. Hogan
The Robe|1953|Miss Dove Morning
Robot Monster|1953|Phil Tucker
Beachhead|1954|Stuart Heisler
Betrayed|1954|Gottfried Reinhardt
Casanova's Big Night|1954|Norman Z. McLeod
Creature from the Black Lagoon|1954|Jack Arnold
Dial M for Murder|1954|Alfred Hitchcock
The Fast and the Furious|1955|John Ireland
The Fast and the Furious|2001|Rob Cohen
Gojira|1984|Koji Hashimoto
It Should Happen to You|1954|George Cukor
Jubilee Trail|1954|Rangers On
Monster from the Ocean Floor|1954|Wyott Ordung
Red Garters|1954|Jr. Jones
Sabrina|1954|Stupid Me
Secret of the Incas|1954|Jerry Hopper
Sitting Bull|1954|Sidney Salkow
A Star Is Born|1954|George Cukor
A Star Is Born|1976|Frank Pierson
Suddenly|1954|Lewis Allen
Vera Cruz|1954|Sweet Charlotte Hush...Hush
Bob le flambeur|1956|Jean-Pierre Melville
Kiss Me Deadly|1955|Sweet Charlotte Hush...Hush
Lady and the Tramp|1955|Clyde Geronimi
Mister Roberts|1955|Mary Mary
Pather Panchali|1955|Satyajit Ray
Teenage Thunder|1957|Paul Helmick
Aparajito|1956|Satyajit Ray
The Conqueror|1956|Dick Powell
Forbidden Planet|1956|Fred M. Wilcox
High Society|1956|Charles Walters
Love Me Tender|1956|Robert D. Webb
Moby Dick|1956|John Huston
Seven Wonders of the World|1956|Paul Mantz
The Ten Commandments|2007|Bill Boyce
Bayou|1957|Harold Daniels
The Curse of Frankenstein|1957|Terence Fisher
A Farewell to Arms|1957|John Huston
La grande strada azzurra|1957|Maleno Malenotti
I Was a Teenage Werewolf|1957|Gene Jr.
Island in the Sun|1957|Robert Rossen
Love in the Afternoon|1957|Stupid Me
Peyton Place|1957|Mark Robson
Saint Joan|1957|Otto Preminger
Sayonara|1957|Joshua Logan
Young and Dangerous|1957|William F. Claxton
Auntie Mame|1958|Morton DaCosta
The Fly|1958|the King Pal
Jalsaghar|1958|Satyajit Ray
South Pacific|1958|Joshua Logan
Apur Sansar|1959|Satyajit Ray
A Hole in the Head|1959|Frank Capra
The Killer Shrews|1959|Buddy Dog
Pillow Talk|1959|Darling Over
Porgy and Bess|1959|Rouben Mamoulian
Sleeping Beauty|1959|Clyde Geronimi
Some Like It Hot|1959|Stupid Me
The Alamo|1960|John Wayne
The Alamo|2004|John Lee Hancock
Cinderfella|1960|Frank Tashlin
Devi|1960|Satyajit Ray
Exodus|1960|Otto Preminger
Flaming Star|1960|Don Siegel
Macumba Love|1960|Douglas Fowley
Mughal-E-Azam|1960|K. Asif
Please Don't Eat the Daisies|1960|Charles Walters
Psycho|1998|je t'aime Paris
Le doulos|1962|Jean-Pierre Melville
El Cid|1961|Anthony Mann
The Exiles|1961|Kent MacKenzie
One Hundred and One Dalmatians|1961|Clyde Geronimi
The Parent Trap|1961|David Swift
The Parent Trap|1998|Nancy Meyers
Teen Kanya|1961|Satyajit Ray
How the West Was Won|1962|Line and Sinker Hook
Kid Galahad|1962|a WAC and a Marine Wave
Lawrence of Arabia|1962|David Lean
The Music Man|1962|Morton DaCosta
Taras Bulba|2009|Vladimir Bortko
La baie des anges|1963|Jacques Demy
Billy Liar|1963|John Schlesinger
Blood Feast|1963|Herschell Gordon Lewis
Cleopatra|1963|Rouben Mamoulian
L'eroe di Babilonia|1963|Siro Marcellini
It Happened at the World's Fair|1963|Hollywood Hello
It's a Mad Mad Mad Mad World|1963|Stanley Kramer
Kissin' Cousins|1964|Gene Nelson
The Pink Panther|2006|Shawn Levy
The Sword in the Stone|1963|Wolfgang Reitherman
Tom Jones|1963|Tony Richardson
The Carpetbaggers|1964|Edward Dmytryk
Charulata|1964|Satyajit Ray
Goldfinger|1964|Guy Hamilton
A Hard Day's Night|1964|Richard Lester
Marnie|1964|Alfred Hitchcock
Mary Poppins|1964|Robert Stevenson
Per un pugno di dollari|1964|piombo e furore Amore
Roustabout|1964|Easy Go Come
Darling|1965|John Schlesinger
Doctor Zhivago|1965|David Lean
Genghis Khan|1965|Henry Levin
Girl Happy|1965|Boris Sagal
The Greatest Story Ever Told|1965|Jean Negulesco
Harum Scarum|1965|Gene Nelson
The Sandpiper|1965|Vincente Minnelli
Thunderball|1965|I won won
The Train|1964|Arthur Penn
Au hasard Balthazar|1966|Robert Bresson
A Man for All Seasons|1966|Fred Zinnemann
Barefoot in the Park|1967|Gene Saks
Bonnie and Clyde|1967|Arthur Penn
The Born Losers|1967|Tom Laughlin
Caprice|1967|Frank Tashlin
Casino Royale|1967|John Huston
The Comedians|1967|Peter Glenville
The Dirty Dozen|1967|Sweet Charlotte Hush...Hush
Guess Who's Coming to Dinner|1967|Stanley Kramer
The Jungle Book|1967|Wolfgang Reitherman
The Jungle Book|1994|Stephen Sommers
Komissar|1967|Aleksandr Askoldov
Thoroughly Modern Millie|1967|George Roy Hill
Valley of the Dolls|1967|Mark Robson
Barbarella|1968|Roger Vadim
Coogan's Bluff|1968|Don Siegel
The Lion in Winter|1968|Anthony Harvey
Night of the Living Dead|1968|George A. Romero
Night of the Living Dead|1990|Tom Savini
The Producers|1968|Mel Brooks
The Producers|2005|Susan Stroman
Speedway|1968|Young and Pretty Rich
Alice's Restaurant|1969|Arthur Penn
Bob & Carol & Ted & Alice|1969|Paul Mazursky
Butch Cassidy and the Sundance Kid|1969|George Roy Hill
C'era una volta il West|1968|Sergio Leone
De Sade|1969|Roger Corman
Easy Rider|1969|Dennis Hopper
Marooned|1969|John Sturges
Midnight Cowboy|1969|John Schlesinger
On Her Majesty's Secret Service|1969|Peter R. Hunt
Paint Your Wagon|1969|Joshua Logan
The Plot Against Harry|1989|Michael Roemer
The Sterile Cuckoo|1969|Alan J. Pakula
The AristoCats|1970|Wolfgang Reitherman
Beyond the Valley of the Dolls|1970|Russ Meyer
Le cercle rouge|1970|Jean-Pierre Melville
Erinnerungen an die Zukunft|1970|Teil 1 - Siegfried Nibelungen
Il giardino dei Finzi Contini|1970|domani oggi
Gimme Shelter|1970|Albert Maysles
Little Big Man|1970|Arthur Penn
Myra Breckinridge|1970|Michael Sarne
On a Clear Day You Can See Forever|1970|Vincente Minnelli
Trash|1970|a Man I
Zabriskie Point|1970|Carnevale Stromboli
The Big Doll House|1971|Jack Hill
Big Jake|1971|George Sherman
Diamonds Are Forever|1971|Guy Hamilton
Dirty Harry|1971|Don Siegel
Escape from the Planet of the Apes|1971|Don Taylor
Pink Narcissus|1971|James Bidgood
Shaft|1971|Gordon Parks
Le souffle au coeur|1971|trop humain Humain
Sweet Sweetback's Baadasssss Song|1971|Melvin Peebles
Willard|2003|Glen Morgan
Behind the Green Door|1972|Artie Mitchell
Cabaret|1972|Bob Fosse
Frenzy|1972|Alfred Hitchcock
Fritz the Cat|1972|Ralph Bakshi
The Getaway|1994|Roger Donaldson
High Plains Drifter|1973|Clint Eastwood
The Last House on the Left|2009|Dennis Iliadis
The Legend of Boggy Creek|1972|Charles B. Pierce
Pink Flamingos|1972|John Waters
The Poseidon Adventure|1972|Irwin Allen
Enter the Dragon|1973|Robert Clouse
Jesus Christ Superstar|1973|Gaily Gaily
Jonathan Livingston Seagull|1973|Hall Bartlett
Live and Let Die|1973|Guy Hamilton
Lost Horizon|1973|Charles Jarrott
Magnum Force|1973|or Mutilate Spindle
Serpico|1973|quand du seigneur Rachel
Sleeper|1973|Woody Allen
The Sting|1973|George Roy Hill
Walking Tall|2004|Kevin Bray
